#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
84.0%	84000	-1467151.1278282441	304717.22997546225	307.4572579078511	75.1
85.0%	85000	-1467210.4349276684	304642.94818282407	307.3823081707494	74.8
86.0%	86000	-1467017.7008008622	303107.92637656635	305.83348339500975	74.9
87.0%	87000	-1467384.811234598	303570.538224974	306.3002550652515	74.9
88.0%	88000	-1466797.420592118	306227.2116979629	308.98081743852947	75
89.0%	89000	-1467121.921194896	303048.5817419992	305.7736051314241	75
90.0%	90000	-1468067.2381564835	302394.6526411831	305.1137958773847	74.9
91.0%	91000	-1469063.8994420813	303999.92271188664	306.73350059240784	74.9
92.0%	92000	-1465651.4741990669	304245.51171032316	306.9812979356618	75
93.0%	93000	-1467635.4541533897	304820.28085065016	307.5612354200936	75
94.0%	94000	-1468768.8002069145	303460.19392987335	306.1889185504107	75.1
95.0%	95000	-1467619.9377173614	302984.39022237115	305.7088363994185	74.8
96.0%	96000	-1468586.993107073	303918.6894225861	306.651536850544	74.9
97.0%	97000	-1468923.680814879	302803.9177910249	305.5267411536913	74.9
98.0%	98000	-1469965.5255875979	301977.41673670814	304.692808173142	74.9
99.0%	99000	-1469786.1951538194	304076.1917262245	306.8104554203759	75
100.0%	100000	-1467202.8209048416	303635.22929338686	306.36552783800204	74.9
